

Sure, here is a list of 30 common fruits with descriptions:

Fruit	      Description

Apple	      A round, pomaceous fruit that is typically red, green, or yellow. It is a good source of fiber, vitamin C, and potassium.
Apricot	      A small, orange-yellow fruit that is related to peaches and plums. It is a good source of vitamin A and fiber.
Avocado	      A large, pear-shaped fruit that is native to Mexico. It is a good source of healthy fats, fiber, and vitamin C.
Banana        A long, curved fruit that is typically yellow. It is a good source of potassium, vitamin B6, and fiber.
Blackberry    A small, black fruit that is related to raspberries. It is a good source of fiber, vitamin C, and antioxidants.
Blueberry	  A small, blue fruit that is a member of the berry family. It is a good source of antioxidants, vitamin C, and fiber.
Cantaloupe    A large, orange-yellow melon that is a good source of vitamin A and potassium.
Cherry	      A small, round fruit that is typically red or black. It is a good source of vitamin C and antioxidants.
Clementine    A small, orange citrus fruit that is a type of mandarin. It is a good source of vitamin C and fiber.
Grapefruit	  A large, citrus fruit that is typically pink or red. It is a good source of vitamin C and potassium.
Guava	      A large, pear-shaped fruit that is native to Central and South America. It is a good source of vitamin C, fiber, and potassium.
Honeydew      A large, green melon that is a good source of vitamin C and potassium.
Kiwi	      A small, fuzzy fruit that is native to New Zealand. It is a good source of vitamin C, potassium, and fiber.
Lemon	      A small, yellow citrus fruit that is a good source of vitamin C and antioxidants.
Lime	      A small, green citrus fruit that is a good source of vitamin C and antioxidants.
Mango  	      A large, tropical fruit that is native to South Asia. It is a good source of vitamin C, fiber, and potassium.
Melon	      A general term for a variety of fruits that are typically round and have a sweet flesh. Melons include cantaloupe, honeydew, watermelon.
Nectarine	  A smooth-skinned peach.
Orange	      A large, citrus fruit that is typically orange in color. It is a good source of vitamin C and potassium.
Papaya	      A large, tropical fruit that is native to Central America. It is a good source of vitamin C, fiber, and potassium.
Peach	      A round, juicy fruit that is typically yellow or white. It is a good source of vitamin C and fiber.
Pear	      A long, pear-shaped fruit that is typically green or yellow. It is a good source of fiber, vitamin C, and potassium.
Persimmon	  A round, orange fruit that is native to Asia. It is a good source of vitamin C and fiber.
Pineapple	  A large, tropical fruit that is native to South America. It is a good source of vitamin C, fiber, and potassium.
Plum	      A small, round fruit that is typically purple or red. It is a good source of vitamin C and fiber.
Raspberry	  A small, red fruit that is related to blackberries. It is a good source of fiber, vitamin C, and antioxidants.
Strawberry	  A small, red fruit that is a member of the rose family. It is a good source of vitamin C, fiber, and antioxidants.
Watermelon	  A large, melon-like fruit that is typically red or pink. It is a good source of vitamin C, potassium, and lycopene.
